graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
cond-mat.mtx;0;S;0.017301;1;16264;3764;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
cond-mat.mtx;1;F;0.001802;-1;-1;-1;6010.566176;0.000000;6010.566176;0.000000;6010.566176
cond-mat.mtx;2;S;0.010268;1;6953;1659;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;3;F;0.002386;-1;-1;-1;1221.918073;0.000000;1221.918073;6010.566176;7232.484250
cond-mat.mtx;4;S;0.007831;1;2565;706;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;5;F;0.001945;-1;-1;-1;285.824684;0.000000;285.824684;7232.484250;7518.308934
cond-mat.mtx;6;S;0.005917;1;795;218;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;7;F;0.001578;-1;-1;-1;55.696421;0.000000;55.696421;7518.308934;7574.005355
cond-mat.mtx;8;S;0.004161;1;234;76;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;9;F;0.001436;-1;-1;-1;12.829818;0.000000;12.829818;7574.005355;7586.835173
cond-mat.mtx;10;S;0.003875;1;53;16;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;11;F;0.001398;-1;-1;-1;2.035749;0.000000;2.035749;7586.835173;7588.870922
cond-mat.mtx;12;S;0.003860;1;17;5;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;13;F;0.001428;-1;-1;-1;0.528210;0.000000;0.528210;7588.870922;7589.399133
cond-mat.mtx;14;S;0.003825;1;6;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;15;F;0.001388;-1;-1;-1;0.174242;0.000000;0.174242;7589.399133;7589.573375
cond-mat.mtx;16;S;0.071401;2;664;277;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;17;F;0.005884;-1;-1;-1;590.630457;500.522815;90.107642;7589.573375;7679.681017
cond-mat.mtx;18;S;0.078621;2;100;36;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;19;F;0.001551;-1;-1;-1;46.716288;39.576926;7.139362;7679.681017;7686.820379
cond-mat.mtx;20;S;0.061024;2;16;7;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;21;F;0.001662;-1;-1;-1;6.004278;4.254793;1.749486;7686.820379;7688.569865
cond-mat.mtx;22;S;0.065107;2;12;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;23;F;0.001459;-1;-1;-1;1.685714;1.326190;0.359524;7688.569865;7688.929388
cond-mat.mtx;24;S;0.065240;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;25;F;0.001394;-1;-1;-1;1.100000;1.033333;0.066667;7688.929388;7688.996055
cond-mat.mtx;26;S;0.477967;3;116;52;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;27;F;0.001996;-1;-1;-1;129.221956;121.911278;7.310678;7688.996055;7696.306733
cond-mat.mtx;28;S;0.091586;3;14;6;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;29;F;0.001554;-1;-1;-1;10.800107;10.013201;0.786906;7696.306733;7697.093639
cond-mat.mtx;30;S;0.098092;3;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;31;F;0.001479;-1;-1;-1;3.576190;3.416663;0.159527;7697.093639;7697.253166
cond-mat.mtx;32;S;0.094422;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;33;F;0.001536;-1;-1;-1;2.492860;2.442860;0.050000;7697.253166;7697.303166
cond-mat.mtx;34;S;0.091009;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;35;F;0.001452;-1;-1;-1;2.542860;2.492860;0.050000;7697.303166;7697.353166
cond-mat.mtx;36;S;0.005668;1;33;15;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;37;F;0.001648;-1;-1;-1;5.551190;1.100000;4.451190;7697.353166;7701.804356
cond-mat.mtx;38;S;0.067742;2;8;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;39;F;0.001554;-1;-1;-1;3.928207;3.804399;0.123808;7701.804356;7701.928164
sd2010.mtx;0;S;0.067422;1;88360;14192;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
sd2010.mtx;1;F;0.008205;-1;-1;-1;3847928005.000000;0.000000;3847928005.000000;0.000000;3847928005.000000
sd2010.mtx;2;S;0.060421;1;56397;10757;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;3;F;0.011429;-1;-1;-1;1510502927.000000;0.000000;1510502927.000000;3847928005.000000;5358430932.000000
sd2010.mtx;4;S;0.053250;1;28805;6552;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;5;F;0.011107;-1;-1;-1;513397774.000000;0.000000;513397774.000000;5358430932.000000;5871828706.000000
sd2010.mtx;6;S;0.043959;1;11854;3057;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;7;F;0.010041;-1;-1;-1;139750120.000000;0.000000;139750120.000000;5871828706.000000;6011578826.000000
sd2010.mtx;8;S;0.034403;1;4267;1186;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;9;F;0.009753;-1;-1;-1;33270324.000000;0.000000;33270324.000000;6011578826.000000;6044849150.000000
sd2010.mtx;10;S;0.028884;1;1346;395;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;11;F;0.008391;-1;-1;-1;6896168.000000;0.000000;6896168.000000;6044849150.000000;6051745318.000000
sd2010.mtx;12;S;0.022214;1;370;112;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;13;F;0.007308;-1;-1;-1;1994924.000000;0.000000;1994924.000000;6051745318.000000;6053740242.000000
sd2010.mtx;14;S;0.020798;1;96;29;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;15;F;0.007329;-1;-1;-1;299253.000000;0.000000;299253.000000;6053740242.000000;6054039495.000000
sd2010.mtx;16;S;0.020754;1;26;8;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;17;F;0.007295;-1;-1;-1;94960.000000;0.000000;94960.000000;6054039495.000000;6054134455.000000
sd2010.mtx;18;S;0.021072;1;7;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;19;F;0.007155;-1;-1;-1;28711.000000;0.000000;28711.000000;6054134455.000000;6054163166.000000
sd2010.mtx;20;S;0.354382;2;11140;3068;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;21;F;0.014560;-1;-1;-1;823406507.000000;643475510.000000;179930997.000000;6054163166.000000;6234094163.000000
sd2010.mtx;22;S;0.389795;2;2698;896;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;23;F;0.013304;-1;-1;-1;224280559.000000;192226121.000000;32054438.000000;6234094163.000000;6266148601.000000
sd2010.mtx;24;S;0.317149;2;854;311;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;25;F;0.007749;-1;-1;-1;58060984.000000;49302095.000000;8758889.000000;6266148601.000000;6274907490.000000
sd2010.mtx;26;S;0.280381;2;278;100;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;27;F;0.007709;-1;-1;-1;16162677.000000;13772973.000000;2389704.000000;6274907490.000000;6277297194.000000
sd2010.mtx;28;S;0.286177;2;84;27;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;29;F;0.007753;-1;-1;-1;2661801.000000;2145604.000000;516197.000000;6277297194.000000;6277813391.000000
sd2010.mtx;30;S;0.286487;2;18;8;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;31;F;0.007475;-1;-1;-1;628168.000000;464680.000000;163488.000000;6277813391.000000;6277976879.000000
sd2010.mtx;32;S;0.281893;2;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;33;F;0.006816;-1;-1;-1;32874.000000;29083.000000;3791.000000;6277976879.000000;6277980670.000000
sd2010.mtx;34;S;0.447482;3;2364;853;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;35;F;0.009698;-1;-1;-1;317721616.000000;290947517.000000;26774099.000000;6277980670.000000;6304754769.000000
sd2010.mtx;36;S;0.447107;3;741;250;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;37;F;0.008085;-1;-1;-1;75047143.000000;68392144.000000;6654999.000000;6304754769.000000;6311409768.000000
sd2010.mtx;38;S;0.461160;3;264;80;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;39;F;0.007556;-1;-1;-1;24747588.000000;22642386.000000;2105202.000000;6311409768.000000;6313514970.000000
sd2010.mtx;40;S;0.470043;3;114;35;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;41;F;0.007216;-1;-1;-1;12281238.000000;11451171.000000;830067.000000;6313514970.000000;6314345037.000000
sd2010.mtx;42;S;0.453633;3;29;10;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;43;F;0.008098;-1;-1;-1;2881633.000000;2761359.000000;120274.000000;6314345037.000000;6314465311.000000
sd2010.mtx;44;S;0.491153;3;12;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;45;F;0.007438;-1;-1;-1;177962.000000;167876.000000;10086.000000;6314465311.000000;6314475397.000000
sd2010.mtx;46;S;0.452857;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;47;F;0.006573;-1;-1;-1;40330.000000;29749.000000;10581.000000;6314475397.000000;6314485978.000000
sd2010.mtx;48;S;0.026851;1;977;432;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
