graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
cond-mat.mtx;0;S;0.016014;1;16264;3764;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
cond-mat.mtx;1;F;0.002030;-1;-1;-1;6010.566176;0.000000;6010.566176;0.000000;6010.566176
cond-mat.mtx;2;S;0.070543;2;2432;952;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;3;F;0.005286;-1;-1;-1;1588.866814;1150.533166;438.333647;6010.566176;6448.899824
cond-mat.mtx;4;S;0.288008;3;1473;295;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;5;F;0.002976;-1;-1;-1;978.716850;682.105779;296.611071;6448.899824;6745.510895
cond-mat.mtx;6;S;0.009332;1;4263;1277;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;7;F;0.002339;-1;-1;-1;790.397276;56.380613;734.016663;6745.510895;7479.527558
cond-mat.mtx;8;S;0.067827;2;1258;396;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;9;F;0.002246;-1;-1;-1;561.792596;446.319741;115.472856;7479.527558;7595.000413
cond-mat.mtx;10;S;0.092743;3;430;96;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;11;F;0.001945;-1;-1;-1;174.670325;150.249829;24.420496;7595.000413;7619.420909
cond-mat.mtx;12;S;0.005518;1;569;213;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;13;F;0.001737;-1;-1;-1;76.030659;10.998815;65.031844;7619.420909;7684.452753
cond-mat.mtx;14;S;0.061837;2;176;64;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;15;F;0.001764;-1;-1;-1;53.840149;43.860383;9.979767;7684.452753;7694.432520
cond-mat.mtx;16;S;0.091325;3;81;25;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;17;F;0.001724;-1;-1;-1;40.697155;38.538096;2.159059;7694.432520;7696.591579
cond-mat.mtx;18;S;0.005028;1;46;16;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;19;F;0.001571;-1;-1;-1;3.628210;0.000000;3.628210;7696.591579;7700.219789
cond-mat.mtx;20;S;0.060996;2;24;10;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;21;F;0.001636;-1;-1;-1;5.681323;4.939220;0.742103;7700.219789;7700.961892
cond-mat.mtx;22;S;0.125726;3;7;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;23;F;0.001740;-1;-1;-1;4.035714;3.844050;0.191664;7700.961892;7701.153556
cond-mat.mtx;24;S;0.005111;1;5;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;25;F;0.001707;-1;-1;-1;0.100000;0.000000;0.100000;7701.153556;7701.253556
cond-mat.mtx;26;S;0.060691;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;27;F;0.001486;-1;-1;-1;0.200000;0.100000;0.100000;7701.253556;7701.353556
cond-mat.mtx;28;S;0.089823;3;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
